Orthogroup	crunogenapep	magnificapep	okutaniipep
OG0000025	ABB41072, ABB41591	ABL02126, ABL02682	BAF61456, BAF61980
OG0000026	ABB41151, ABB42086, ABB42261, ABB42262, ABB42376, ABB42494		
OG0000027	ABB41187, ABB41789	ABL02374, ABL02662	BAF61694, BAF61958
OG0000028	ABB41310, ABB42535	ABL02318, ABL02710	BAF61640, BAF62004
OG0000029	ABB41508, ABB42091	ABL02058, ABL02063	BAF61391, BAF61396
OG0000030	ABB41512, ABB42545	ABL02645, ABL02715	BAF61943, BAF62009
OG0000031	ABB41549, ABB41935, ABB42092, ABB42739	ABL02059	BAF61392
OG0000032	ABB41550, ABB41589, ABB41774, ABB42140	ABL01996	BAF61335
OG0000033	ABB42054, ABB42101, ABB42109, ABB42271, ABB42279, ABB42281		
OG0000034	ABB42149, ABB42150	ABL02192, ABL02679	BAF61522, BAF61977
OG0000035	ABB42193, ABB42195, ABB42273, ABB42386, ABB42387	ABL02604	
OG0000036	ABB40660, ABB41424, ABB41449	ABL02030	BAF61370
OG0000037	ABB40690, ABB40922, ABB41472	ABL02265	BAF61588
OG0000038	ABB40841, ABB42457, ABB42458	ABL01864	BAF61207
OG0000039	ABB40954, ABB40981, ABB42027, ABB42116, ABB42178		
OG0000040	ABB41158, ABB42225	ABL02076, ABL02519	BAF61835
OG0000041	ABB41163, ABB42226	ABL02227, ABL02256	BAF61553
OG0000042	ABB41165, ABB41308, ABB41540	ABL02629	BAF61928
OG0000043	ABB41324, ABB41347, ABB41351, ABB41866, ABB42068		
OG0000044	ABB41342, ABB41613, ABB41760, ABB42318, ABB42763		
OG0000045	ABB41466	ABL02129, ABL02324	BAF61471, BAF61646
OG0000046	ABB41467, ABB41705, ABB42604	ABL02128	BAF61472
OG0000047	ABB41516, ABB41517	ABL02088, ABL02633	BAF61932
OG0000048	ABB41539, ABB41695, ABB41823	ABL02115	BAF61446
OG0000049	ABB41555, ABB42047, ABB42729	ABL02558	BAF61873
OG0000050	ABB41644, ABB42161, ABB42636	ABL02101	BAF61431
OG0000051	ABB41664, ABB41851, ABB42263	ABL02672	BAF61970
OG0000052	ABB41847, ABB42134, ABB42493	ABL01823	BAF61158
OG0000053	ABB41939, ABB42310, ABB42547	ABL02723	BAF62018
OG0000054	ABB42057, ABB42061, ABB42062, ABB42063, ABB42065		
OG0000055	ABB40633, ABB41226	ABL02340	BAF61661
OG0000056	ABB40658, ABB41426	ABL02032	BAF61372
OG0000057	ABB40667, ABB40953	ABL02243	BAF61569
OG0000058	ABB40677, ABB41520, ABB42055, ABB42084		
OG0000059	ABB40689, ABB41528	ABL02545	BAF61861
OG0000060	ABB40706, ABB41979	ABL02509	BAF61826
OG0000061	ABB40718, ABB41366, ABB41456, ABB42478		
OG0000062	ABB40724, ABB40808	ABL02098	BAF61428
OG0000063	ABB40757, ABB41757	ABL02431	BAF61754
OG0000064	ABB40760, ABB41383	ABL02180	BAF61509
OG0000065	ABB40817, ABB42151	ABL01909	BAF61252
OG0000066	ABB40821, ABB42292, ABB42461, ABB42470		
OG0000067	ABB40825, ABB41850	ABL02469	BAF61798
OG0000068	ABB40847, ABB41237, ABB42317, ABB42342		
OG0000069	ABB40864, ABB41756	ABL01908	BAF61251
OG0000070	ABB40917, ABB41316	ABL01871	BAF61213
OG0000071	ABB40918, ABB40983	ABL02380	BAF61701
OG0000072	ABB40948	ABL01827, ABL02478	BAF61163
OG0000073	ABB40959, ABB42582	ABL02193	BAF61523
OG0000074	ABB40982, ABB42026, ABB42115, ABB42179		
OG0000075	ABB40984, ABB42138	ABL02514	BAF61830
OG0000076	ABB41000, ABB41773	ABL01994	BAF61334
OG0000077	ABB41018, ABB41026	ABL02436	BAF61764
OG0000078	ABB41019, ABB41025	ABL02437	BAF61765
OG0000079	ABB41039, ABB42384	ABL02764	BAF62058
OG0000080	ABB41069, ABB41909	ABL02471	BAF61800
OG0000081	ABB41095, ABB42522	ABL02131	BAF61469
OG0000082	ABB41098, ABB42730	ABL02173	BAF61502
OG0000083	ABB41099, ABB41102	ABL01950	BAF61293
OG0000084	ABB41111, ABB41476	ABL02589	BAF61904
OG0000085	ABB41180, ABB42173	ABL02484	BAF61811
OG0000086	ABB41207, ABB42468	ABL02208	BAF61534
OG0000087	ABB41210, ABB41590	ABL02247	BAF61571
OG0000088	ABB41221, ABB42433	ABL02415	BAF61733
OG0000089	ABB41223, ABB42199	ABL02376	BAF61696
OG0000090	ABB41224	ABL01989, ABL01990	BAF61330
OG0000091	ABB41259, ABB41834	ABL02062	BAF61395
OG0000092	ABB41299, ABB42098	ABL02195	BAF61525
OG0000093	ABB41302, ABB42099	ABL02725	BAF62020
OG0000094	ABB41319, ABB41938	ABL02557	BAF61872
OG0000095	ABB41325, ABB42619	ABL02674	BAF61972
OG0000096	ABB41341, ABB42532	ABL02506	BAF61823
OG0000097	ABB41358, ABB41621	ABL01824	BAF61159
OG0000098	ABB41361	ABL01845	BAF61183, BAF61184
OG0000099	ABB41365, ABB41746	ABL02065	BAF61399
OG0000100	ABB41379	ABL01985, ABL02381	BAF61702
OG0000101	ABB41380, ABB42145	ABL02357	BAF61677
OG0000102	ABB41386, ABB42333	ABL01941	BAF61285
OG0000103	ABB41399, ABB42579	ABL02736	BAF62032
OG0000104	ABB41446, ABB42644	ABL02013	BAF61351
OG0000105	ABB41491, ABB42214	ABL02456	BAF61785
OG0000106	ABB41492, ABB42215	ABL02455	BAF61784
OG0000107	ABB41495, ABB42078	ABL02270	BAF61593
OG0000108	ABB41523, ABB42571	ABL02039	BAF61373
OG0000109	ABB41527, ABB41921	ABL01889	BAF61230
OG0000110	ABB41542, ABB41686	ABL02287	BAF61608
OG0000111	ABB41566, ABB42650	ABL02213	BAF61541
OG0000112	ABB41571	ABL02614, ABL02747	BAF62042
OG0000113	ABB41572, ABB41818	ABL02572	BAF61886
OG0000114	ABB41598, ABB42083	ABL02671	BAF61969
OG0000115	ABB41807, ABB42732	ABL02267	BAF61590
OG0000116	ABB41937, ABB42207	ABL02627	BAF61926
OG0000117	ABB41941, ABB42284	ABL02598	BAF61915
OG0000118	ABB42031, ABB42753	ABL02749	BAF62044
OG0000119	ABB42044, ABB42045, ABB42056, ABB42094		
OG0000120	ABB42168, ABB42702	ABL02443	BAF61771
OG0000121	ABB42189, ABB42417	ABL01853	BAF61193
OG0000122	ABB42220, ABB42385	ABL02120	BAF61451
OG0000123	ABB42233, ABB42445, ABB42449, ABB42665		
OG0000124	ABB42234, ABB42444, ABB42450, ABB42666		
OG0000125	ABB42269, ABB42495	ABL02214	BAF61542
OG0000126	ABB42351	ABL02422	BAF61718, BAF61746
OG0000127	ABB42410, ABB42720	ABL02555	BAF61870
OG0000128		ABL02003, ABL02004	BAF61341, BAF61342
OG0000129		ABL02141, ABL02296	BAF61459, BAF61618
OG0000130	ABB40598	ABL01805	BAF61140
OG0000131	ABB40599	ABL01806	BAF61141
OG0000132	ABB40604, ABB42020, ABB42685		
OG0000133	ABB40610	ABL01808	BAF61143
OG0000134	ABB40614	ABL02251	BAF61575
OG0000135	ABB40616	ABL02250	BAF61574
OG0000136	ABB40630, ABB41747, ABB41748		
OG0000137	ABB40631, ABB41749, ABB42379		
OG0000138	ABB40641	ABL01878	BAF61220
OG0000139	ABB40644	ABL01988	BAF61329
OG0000140	ABB40646	ABL02403	BAF61720
OG0000141	ABB40647	ABL02664	BAF61960
OG0000142	ABB40652	ABL02591	BAF61906
OG0000143	ABB40664	ABL02320	BAF61642
OG0000144	ABB40688, ABB42260, ABB42690		
OG0000145	ABB40698, ABB41482		BAF62011
OG0000146	ABB40708	ABL02508	BAF61824
OG0000147	ABB40709	ABL02570	BAF61884
OG0000148	ABB40713, ABB41097		BAF61352
OG0000149	ABB40715	ABL02703	BAF61997
OG0000150	ABB40717	ABL02310	BAF61631
OG0000151	ABB40719	ABL02731	BAF62027
OG0000152	ABB40721	ABL02732	BAF62028
OG0000153	ABB40722	ABL02233	BAF61559
OG0000154	ABB40736	ABL02071	BAF61405
OG0000155	ABB40739	ABL02663	BAF61959
OG0000156	ABB40740	ABL01881	BAF61223
OG0000157	ABB40741	ABL02551	BAF61866
OG0000158	ABB40742	ABL02594	BAF61909
OG0000159	ABB40744	ABL02172	BAF61501
OG0000160	ABB40749	ABL02194	BAF61524
OG0000161	ABB40750	ABL02171	BAF61500
OG0000162	ABB40754	ABL02433	BAF61756
OG0000163	ABB40755	ABL02434	BAF61757
OG0000164	ABB40756	ABL02429	BAF61752
OG0000165	ABB40758	ABL02432	BAF61755
OG0000166	ABB40759	ABL02450	BAF61779
OG0000167	ABB40765	ABL02140	BAF61460
OG0000168	ABB40769, ABB42782		BAF61426
OG0000169	ABB40770, ABB42006, ABB42789		
OG0000170	ABB40778	ABL02332	BAF61654
OG0000171	ABB40781, ABB41721, ABB42615		
OG0000172	ABB40782	ABL02136	BAF61464
OG0000173	ABB40783	ABL02135	BAF61465
OG0000174	ABB40785	ABL02133	BAF61467
OG0000175	ABB40788	ABL02510	BAF61827
OG0000176	ABB40789	ABL02675	BAF61973
OG0000177	ABB40792	ABL02739	BAF62035
OG0000178	ABB40794	ABL01879	BAF61221
OG0000179	ABB40799	ABL02681	BAF61979
OG0000180	ABB40806, ABB40955, ABB40956		
OG0000181	ABB40809	ABL02157	BAF61487
OG0000182	ABB40813	ABL02070	BAF61404
OG0000183	ABB40836	ABL01986	BAF61327
OG0000184	ABB40837	ABL02447	BAF61776
OG0000185	ABB40840	ABL01863	BAF61206
OG0000186	ABB40842	ABL01865	BAF61208
OG0000187	ABB40843	ABL01866	BAF61209
OG0000188	ABB40844	ABL01867	BAF61210
OG0000189	ABB40846, ABB41235, ABB42319		
OG0000190	ABB40857	ABL01811	BAF61146
OG0000191	ABB40858	ABL01826	BAF61161
OG0000192	ABB40860	ABL02775	BAF62069
OG0000193	ABB40863	ABL02644	BAF61942
OG0000194	ABB40865	ABL02549	BAF61864
OG0000195	ABB40871	ABL02550	BAF61865
OG0000196	ABB40873	ABL01914	BAF61257
OG0000197	ABB40878	ABL02538	BAF61854
OG0000198	ABB40879	ABL02537	BAF61853
OG0000199	ABB40880	ABL02536	BAF61852
OG0000200	ABB40881	ABL02535	BAF61851
OG0000201	ABB40882	ABL02534	BAF61850
OG0000202	ABB40883	ABL02533	BAF61849
OG0000203	ABB40884	ABL02532	BAF61848
OG0000204	ABB40885	ABL02531	BAF61847
OG0000205	ABB40886	ABL01952	BAF61294
OG0000206	ABB40887	ABL01953	BAF61295
OG0000207	ABB40888	ABL01954	BAF61296
OG0000208	ABB40890	ABL01956	BAF61298
OG0000209	ABB40891	ABL01957	BAF61299
OG0000210	ABB40892	ABL01958	BAF61300
OG0000211	ABB40893	ABL01959	BAF61301
OG0000212	ABB40894	ABL01960	BAF61302
OG0000213	ABB40895	ABL01961	BAF61303
OG0000214	ABB40896	ABL01962	BAF61304
OG0000215	ABB40897	ABL01963	BAF61305
OG0000216	ABB40898	ABL01964	BAF61306
OG0000217	ABB40899	ABL01965	BAF61307
OG0000218	ABB40900	ABL01966	BAF61308
OG0000219	ABB40901	ABL01967	BAF61309
OG0000220	ABB40902	ABL01968	BAF61310
OG0000221	ABB40903	ABL01969	BAF61311
OG0000222	ABB40904	ABL01970	BAF61312
OG0000223	ABB40905	ABL01971	BAF61313
OG0000224	ABB40906	ABL01972	BAF61314
OG0000225	ABB40907	ABL01973	BAF61315
OG0000226	ABB40908	ABL01974	BAF61316
OG0000227	ABB40909	ABL01975	BAF61317
OG0000228	ABB40910	ABL01976	BAF61318
OG0000229	ABB40911	ABL01977	BAF61319
OG0000230	ABB40912	ABL01979	BAF61321
OG0000231	ABB40913	ABL01980	BAF61322
OG0000232	ABB40914	ABL01981	BAF61323
OG0000233	ABB40915	ABL01982	BAF61324
OG0000234	ABB40916	ABL01983	BAF61325
OG0000235	ABB40920	ABL02045	BAF61378
OG0000236	ABB40923	ABL02264	BAF61587
OG0000237	ABB40936	ABL02138	BAF61462
OG0000238	ABB40937	ABL02632	BAF61931
OG0000239	ABB40938	ABL02631	BAF61930
OG0000240	ABB40939	ABL02174	BAF61503
OG0000241	ABB40940	ABL02175	BAF61504
OG0000242	ABB40941	ABL02313	BAF61634
OG0000243	ABB40942	ABL02314	BAF61635
OG0000244	ABB40944	ABL02765	BAF62059
OG0000245	ABB40945	ABL02766	BAF62060
OG0000246	ABB40946	ABL02767	BAF62061
OG0000247	ABB40949	ABL02252	BAF61576
OG0000248	ABB40950	ABL02468	BAF61797
OG0000249	ABB40951	ABL02452	BAF61781
OG0000250	ABB40958	ABL02423	BAF61747
OG0000251	ABB40979	ABL02593	BAF61908
OG0000252	ABB40986	ABL02458	BAF61787
OG0000253	ABB40988	ABL01905	BAF61248
OG0000254	ABB40989	ABL02771	BAF62065
OG0000255	ABB40990	ABL02772	BAF62066
OG0000256	ABB40991	ABL02773	BAF62067
OG0000257	ABB40996	ABL02770	BAF62064
OG0000258	ABB40998	ABL02768	BAF62062
OG0000259	ABB40999	ABL02303	BAF61730
OG0000260	ABB41001	ABL02302	BAF61624
OG0000261	ABB41017	ABL02694	BAF61988
OG0000262	ABB41020	ABL02438	BAF61766
OG0000263	ABB41034	ABL01859	BAF61199
OG0000264	ABB41035	ABL02677	BAF61974
OG0000265	ABB41037, ABB41805	ABL02201	
OG0000266	ABB41040	ABL02763	BAF62057
OG0000267	ABB41041	ABL02762	BAF62056
OG0000268	ABB41042	ABL02761	BAF62055
OG0000269	ABB41043	ABL02704	BAF61998
OG0000270	ABB41046	ABL02000	BAF61338
OG0000271	ABB41047	ABL02424	BAF61748
OG0000272	ABB41057	ABL02649	BAF61948
OG0000273	ABB41058	ABL02648	BAF61947
OG0000274	ABB41059	ABL02277	BAF61598
OG0000275	ABB41064, ABB41065, ABB41068		
OG0000276	ABB41071	ABL01916	BAF61259
OG0000277	ABB41075	ABL01809	BAF61144
OG0000278	ABB41077	ABL01928	BAF61270
OG0000279	ABB41078	ABL01927	BAF61269
OG0000280	ABB41080	ABL02105	BAF61434
OG0000281	ABB41088	ABL02476	BAF61805
OG0000282	ABB41089	ABL02309	BAF61630
OG0000283	ABB41090	ABL01820	BAF61155
OG0000284	ABB41091	ABL02116	BAF61447
OG0000285	ABB41092	ABL02397	BAF61714
OG0000286	ABB41094	ABL01850	BAF61190
OG0000287	ABB41104, ABB42048, ABB42282		
OG0000288	ABB41125	ABL02222	BAF61550
OG0000289	ABB41128	ABL02210	BAF61537
OG0000290	ABB41129	ABL02211	BAF61538
OG0000291	ABB41130	ABL02335	BAF61657
OG0000292	ABB41132	ABL02253	BAF61577
OG0000293	ABB41139	ABL01920	BAF61264
OG0000294	ABB41141	ABL02279	BAF61600
OG0000295	ABB41144	ABL02490	BAF61814
OG0000296	ABB41155	ABL02078	BAF61411
OG0000297	ABB41159	ABL01947	BAF61291
OG0000298	ABB41160	ABL01946	BAF61290
OG0000299	ABB41161	ABL02087	BAF61420
OG0000300	ABB41162	ABL02493	BAF61816
OG0000301	ABB41164	ABL02255	BAF61579
OG0000302	ABB41167	ABL02366	BAF61686
OG0000303	ABB41168	ABL02365	BAF61685
OG0000304	ABB41169	ABL02724	BAF62019
OG0000305	ABB41171	ABL02460	BAF61789
OG0000306	ABB41178	ABL02328	BAF61650
OG0000307	ABB41181	ABL02486	BAF61813
OG0000308	ABB41184	ABL02203	BAF61529
OG0000309	ABB41185	ABL01817	BAF61153
OG0000310	ABB41186	ABL02439	BAF61767
OG0000311	ABB41188	ABL02722	BAF62017
OG0000312	ABB41190	ABL01862	BAF61202
OG0000313	ABB41191	ABL02144	BAF61476
OG0000314	ABB41192	ABL02158	BAF61488
OG0000315	ABB41193	ABL02281	BAF61602
OG0000316	ABB41194	ABL02282	BAF61603
OG0000317	ABB41195	ABL02283	BAF61604
OG0000318	ABB41197	ABL02526	BAF61842
OG0000319	ABB41198	ABL02527	BAF61843
OG0000320	ABB41199	ABL02528	BAF61844
OG0000321	ABB41200	ABL02529	BAF61845
OG0000322	ABB41203	ABL02600	BAF61917
OG0000323	ABB41204	ABL02599	BAF61916
OG0000324	ABB41206	ABL02207	BAF61533
OG0000325	ABB41211	ABL02248	BAF61572
OG0000326	ABB41212	ABL02330	BAF61652
OG0000327	ABB41213	ABL02329	BAF61651
OG0000328	ABB41214	ABL02326	BAF61648
OG0000329	ABB41215	ABL02150	BAF61480
OG0000330	ABB41216	ABL02151	BAF61481
OG0000331	ABB41218	ABL02413	BAF61731
OG0000332	ABB41222	ABL02091	BAF61423
OG0000333	ABB41228	ABL02338	BAF61659
OG0000334	ABB41229	ABL01907	BAF61250
OG0000335	ABB41230	ABL02204	BAF61530
OG0000336	ABB41231	ABL02205	BAF61531
OG0000337	ABB41232	ABL02206	BAF61532
OG0000338	ABB41243	ABL02696	BAF61990
OG0000339	ABB41244	ABL02695	BAF61989
OG0000340	ABB41245	ABL02057	BAF61390
OG0000341	ABB41246	ABL02588	BAF61903
OG0000342	ABB41303	ABL02242	BAF61568
OG0000343	ABB41304	ABL02241	BAF61567
OG0000344	ABB41305	ABL02240	BAF61566
OG0000345	ABB41306	ABL02239	BAF61565
OG0000346	ABB41307	ABL02630	BAF61929
OG0000347	ABB41309	ABL02317	BAF61639
OG0000348	ABB41312	ABL02005	BAF61343
OG0000349	ABB41314	ABL02006	BAF61344
OG0000350	ABB41315	ABL02007	BAF61345
OG0000351	ABB41322	ABL02345	BAF61666
OG0000352	ABB41326	ABL02215	BAF61543
OG0000353	ABB41328	ABL02356	BAF61676
OG0000354	ABB41329	ABL02370	BAF61690
OG0000355	ABB41330	ABL02363	BAF61683
OG0000356	ABB41331	ABL02362	BAF61682
OG0000357	ABB41333	ABL02361	BAF61681
OG0000358	ABB41334	ABL02360	BAF61680
OG0000359	ABB41359	ABL01847	BAF61186
OG0000360	ABB41360	ABL01846	BAF61185
OG0000361	ABB41362, ABB41490		BAF61786
OG0000362	ABB41363	ABL01852	BAF61192
OG0000363	ABB41364	ABL02714	BAF62008
OG0000364	ABB41390	ABL02188	BAF61518
OG0000365	ABB41391	ABL02143	BAF61475
OG0000366	ABB41392	ABL02142	BAF61474
OG0000367	ABB41393	ABL01897	BAF61239
OG0000368	ABB41394, ABB41849		BAF61799
OG0000369	ABB41396	ABL02660	BAF61956
OG0000370	ABB41397	ABL02690	BAF61986
OG0000371	ABB41398	ABL02737	BAF62033
OG0000372	ABB41400	ABL02730	BAF62026
OG0000373	ABB41401	ABL02729	BAF62025
OG0000374	ABB41402	ABL02705	BAF61999
OG0000375	ABB41404	ABL02707	BAF62001
OG0000376	ABB41405	ABL02708	BAF62002
OG0000377	ABB41406	ABL01900	BAF61243
OG0000378	ABB41407	ABL02139	BAF61461
OG0000379	ABB41408	ABL01930	BAF61272
OG0000380	ABB41409	ABL01931	BAF61273
OG0000381	ABB41410	ABL01932	BAF61274
OG0000382	ABB41411	ABL02780	BAF62075
OG0000383	ABB41412	ABL02779	BAF62074
OG0000384	ABB41413	ABL02019	BAF61359
OG0000385	ABB41414	ABL02020	BAF61360
OG0000386	ABB41415	ABL02021	BAF61361
OG0000387	ABB41416	ABL02022	BAF61362
OG0000388	ABB41417	ABL02023	BAF61363
OG0000389	ABB41418	ABL02024	BAF61364
OG0000390	ABB41419	ABL02025	BAF61365
OG0000391	ABB41420	ABL02026	BAF61366
OG0000392	ABB41421	ABL02027	BAF61367
OG0000393	ABB41422	ABL02028	BAF61368
OG0000394	ABB41423	ABL02029	BAF61369
OG0000395	ABB41425	ABL02031	BAF61371
OG0000396	ABB41440, ABB41441, ABB41442		
OG0000397	ABB41463	ABL02758	BAF62053
OG0000398	ABB41465	ABL02759	BAF62054
OG0000399	ABB41468	ABL02546	BAF61862
OG0000400	ABB41474	ABL02592	BAF61907
OG0000401	ABB41475	ABL02590	BAF61905
OG0000402	ABB41485	ABL02164	BAF61493
OG0000403	ABB41486	ABL02163	BAF61492
OG0000404	ABB41487	ABL02162	BAF61491
OG0000405	ABB41493	ABL02454	BAF61783
OG0000406	ABB41494	ABL02269	BAF61592
OG0000407	ABB41497	ABL02316	BAF61638
OG0000408	ABB41498	ABL01938	BAF61282
OG0000409	ABB41500, ABB42734, ABB42735		
OG0000410	ABB41509	ABL02125	BAF61455
OG0000411	ABB41510	ABL01944	BAF61288
OG0000412	ABB41515	ABL02634	BAF61933
OG0000413	ABB41518	ABL02622	BAF61922
OG0000414	ABB41519	ABL01895	BAF61236
OG0000415	ABB41521, ABB41678	ABL02489	
OG0000416	ABB41522	ABL02106	BAF61435
OG0000417	ABB41524	ABL02145	BAF61477
OG0000418	ABB41526	ABL02168	BAF61497
OG0000419	ABB41551	ABL02154	BAF61484
OG0000420	ABB41553	ABL02560	BAF61875
OG0000421	ABB41554	ABL02559	BAF61874
OG0000422	ABB41558, ABB42584, ABB42654		
OG0000423	ABB41559	ABL02010	BAF61348
OG0000424	ABB41565	ABL02085	BAF61418
OG0000425	ABB41567	ABL02212	BAF61540
OG0000426	ABB41573	ABL02571	BAF61885
OG0000427	ABB41577	ABL02350	BAF61670
OG0000428	ABB41580	ABL02668	BAF61966
OG0000429	ABB41581	ABL01921	BAF61265
OG0000430	ABB41582	ABL02351	BAF61671
OG0000431	ABB41583	ABL02352	BAF61672
OG0000432	ABB41584	ABL02353	BAF61673
OG0000433	ABB41585	ABL02661	BAF61957
OG0000434	ABB41586	ABL01815	BAF61151
OG0000435	ABB41587	ABL01814	BAF61150
OG0000436	ABB41588	ABL01813	BAF61149
OG0000437	ABB41592	ABL02355	BAF61675
OG0000438	ABB41593	ABL02354	BAF61674
OG0000439	ABB41594	ABL02009	BAF61347
OG0000440	ABB41596	ABL02216	BAF61544
OG0000441	ABB41597	ABL02670	BAF61968
OG0000442	ABB41609, ABB42022, ABB42447		
OG0000443	ABB41625	ABL02656	BAF61952
OG0000444	ABB41626	ABL02513	BAF61829
OG0000445	ABB41627	ABL01937	BAF61280
OG0000446	ABB41628	ABL01936	BAF61279
OG0000447	ABB41629	ABL01935	BAF61278
OG0000448	ABB41630	ABL01934	BAF61277
OG0000449	ABB41631	ABL01933	BAF61276
OG0000450	ABB41632	ABL02321	BAF61643
OG0000451	ABB41637	ABL02322	BAF61644
OG0000452	ABB41640	ABL02047	BAF61379
OG0000453	ABB41641	ABL02048	BAF61380
OG0000454	ABB41643	ABL02050	BAF61382
OG0000455	ABB41652	ABL02653	BAF61950
OG0000456	ABB41661, ABB42498, ABB42697		
OG0000457	ABB41670	ABL02124	BAF61454
OG0000458	ABB41677	ABL02573	BAF61887
OG0000459	ABB41680	ABL02492	BAF61815
OG0000460	ABB41683, ABB42392, ABB42613		
OG0000461	ABB41685	ABL02288	BAF61609
OG0000462	ABB41688	ABL02286	BAF61607
OG0000463	ABB41689	ABL02285	BAF61606
OG0000464	ABB41691	ABL02400	BAF61716
OG0000465	ABB41693	ABL02475	BAF61804
OG0000466	ABB41694	ABL02474	BAF61803
OG0000467	ABB41699	ABL02161	BAF61490
OG0000468	ABB41708	ABL02567	BAF61881
OG0000469	ABB41710	ABL02524	BAF61840
OG0000470	ABB41716	ABL01854	BAF61194
OG0000471	ABB41717	ABL01855	BAF61195
OG0000472	ABB41718	ABL01856	BAF61196
OG0000473	ABB41719	ABL01857	BAF61197
OG0000474	ABB41720	ABL01858	BAF61198
OG0000475	ABB41723	ABL02073	BAF61408
OG0000476	ABB41724	ABL02218	BAF61545
OG0000477	ABB41732	ABL02697	BAF61991
OG0000478	ABB41737	ABL02698	BAF61992
OG0000479	ABB41739	ABL02463	BAF61792
OG0000480	ABB41741	ABL01945	BAF61289
OG0000481	ABB41755	ABL02052	BAF61384
OG0000482	ABB41758	ABL02430	BAF61753
OG0000483	ABB41763	ABL02726	BAF62021
OG0000484	ABB41765	ABL02757	BAF62052
OG0000485	ABB41767	ABL02561	BAF61876
OG0000486	ABB41771	ABL01992	BAF61332
OG0000487	ABB41772	ABL01993	BAF61333
OG0000488	ABB41776	ABL02398	BAF61715
OG0000489	ABB41783	ABL02246	BAF61570
OG0000490	ABB41785	ABL02358	BAF61678
OG0000491	ABB41787	ABL02377	BAF61697
